Description,Category
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-5,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Need to check Access Control,Laptops/Desktop
PLS INSTALL SAP,SAP
Need to check Server Room AC,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Data backup from pc to laptop.,Laptops/Desktop
please connect laptop to TV,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Printerissue,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
reset my System password,Network
please mail back up transfer,Laptops/Desktop
please connect network printer,Printer
need to configure VPN,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install apps,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
need to dispatch laptop,Laptops/Desktop
need to configure VPN,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install apps,Laptops/Desktop
Saksham portal is not opening,Inquiry / Help
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
Printernot working,Printer
need to dispatch laptop,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to configure SAP,Laptops/Desktop
need to install softwares,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
need to dispatch laptop,Laptops/Desktop
Due to HDD faulty unable to provide the same ,Laptops/Desktop
The USB ports of CPU is not responding to the data,Network
"Hemant sir, Biometric issue",Laptops/Desktop
Sir Please Add Transporter Name And Code In RFID,Application
need to install printer,Laptops/Desktop
outlook is not working,Laptops/Desktop
HP laser jet 1020 cartage for printer,Printer
please restore the password.,Network
Internet is not working in my dongle.,Network
Mail issue,Laptops/Desktop
Password issue,Laptops/Desktop
Navdish sharma passwords issue,Laptops/Desktop
Kindly provide one projector for colony Prothsahan,Laptops/Desktop
password issue,Laptops/Desktop
plese mail backup transfer,Laptops/Desktop
need to send event logs with OEM dell,Laptops/Desktop
need to enrool user on biometrics,Laptops/Desktop
login issue,Laptops/Desktop
Create VPN  ID  for New Depot 1669 GANGAPUR CITY WH,Inquiry / Help
Create VPN  ID  for New Depot- SARDARSHAHR (CHURU)_GREY WH (1671),Inquiry / Help
Create VPN  ID  for New Depot at VATIKA JAIPUR (1673),Inquiry / Help
Create VPN  ID  for New Depot 1672 ATRU(BARAN)_GREY WH,Inquiry / Help
laptop charger is not working,Laptops/Desktop
Punch machine installation at Colony,Network
Punch machine installation at Halki Mines,Network
Punch machine installation at Muddapur Mines,Network
MS teams camera not working,Laptops/Desktop
laptop hanging problem,Laptops/Desktop
PDF file issue,Laptops/Desktop
Password issue,Laptops/Desktop
not able to connect WIFI,Laptops/Desktop
Printernot connected,Printer
Outlook not responding.,E-mail
NETWORK ISSUE,Network
WIFI connecting issue,Laptops/Desktop
login issue,Laptops/Desktop
Laptop headphone Jack is not working.,Laptops/Desktop
domain password not working,Laptops/Desktop
Reset my system password,Laptops/Desktop
Rename Of IP Phones,Other Hardware
outlook not opening,E-mail
"Ichalkaranji depot system corrupt, system formatte",Network
Kindly reset a sap password for below id:nmm15,SAP
login issue,Laptops/Desktop
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
Hasanpur depot vpn issue,Laptops/Desktop
Vpn not working,Laptops/Desktop
vpn issue,Laptops/Desktop
Monitor not working for shift PC,Network
Google Authenticator  reset due to phone change,Network
pls reset pw,Laptops/Desktop
qc shared folder access,Shared File and Folder Access
new laptop setup Abhinav kabra,Other
laptop setup for hr deptt,Laptops/Desktop
Request For My Customer onboarding Application,Inquiry / Help
In oracle system weight bridge slip serial number ,Laptops/Desktop
Amend weight in slip serial number 63731 to gross ,Laptops/Desktop
laptop not booting,Laptops/Desktop
vpn not working please help us,Network
login issue,Laptops/Desktop
login issue of 13000385@jkcement.com,Laptops/Desktop
"Dear/Ma'am,It is Requesting to kindly arrange to",Application
pdf file not open,Software
kindly reset password mail id ob.gujsrt@jkcement.c,Network
kindly install a team viewer application.,Software
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
"Problem in LAN cable connection at Mines Office, N",Network
LAN cable connectivity problem,Network
kindly configure IP Phone,Other Hardware
Printernot connected,Printer
SAP not working,SAP
I want to install some softwares for my academics ,Laptops/Desktop
Kindly provide updated SAP setup and VPN setup and,Network
LTS7 vpn issue,Laptops/Desktop
Vendor VPN issue,Laptops/Desktop
ADCB website not opening,Network
Share CCTV Image for truck,Other
mail backup transfer,Laptops/Desktop
need to register a call with OEM dell,Laptops/Desktop
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
Need to check DVR-5,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
e mail not working,Laptops/Desktop
Dell Engineer came at site for resolve issue relat,Laptops/Desktop
PLEASE ISSUE ONE CARTRIGE,Laptops/Desktop
need to check TV with vendor-PP,Laptops/Desktop
Need to check Access Control,Laptops/Desktop
need to enroll user on biometrics,Laptops/Desktop
Need to check Server Room AC,Laptops/Desktop
My laptop is not working properly.,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Need to check UPS,Laptops/Desktop
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
need to send following asset to prism tower1.) D,Laptops/Desktop
Re: VPN locked out,Inquiry / Help
U drive required,Shared File and Folder Access
New PC given in Line-1 instrument lab has no acces,Laptops/Desktop
VPN not working in autoplant IT Team,Software
need to send invoice of dell to kanpur office,Laptops/Desktop
need to receive new dell laptop,Laptops/Desktop
Teams issue,Laptops/Desktop
need to update data of BHAGWAN DEO SHARMA to asset,Laptops/Desktop
need to update data of Rudra Ashish Tiwari to asse,Laptops/Desktop
Printernot link with System Printernot working k,Printer
system not booting ,Laptops/Desktop
VPN locked out,Inquiry / Help
excel not working,Software
google earth install,Software
Team Meeting App not installed in my laptop. Pleas,Software
"During the online onboarding process, I have uploa",Application
laptop not working,Laptops/Desktop
Please extend RAM capacity from 4GB to 8GB,Laptops/Desktop
login issue,Laptops/Desktop
vpn is not working,Laptops/Desktop
Garoth depot password issue,Laptops/Desktop
The portal is not responding with credentials.,Application
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
Password issue,Laptops/Desktop
"Hello sir,When i am sending Mail then mail is no",E-mail
Need to reboot Biometrics device of Prism 7th floo,Laptops/Desktop
Need to reboot Biometrics device of Prism 5th floo,Laptops/Desktop
Need to reboot Biometrics device of Prism 4th floo,Laptops/Desktop
Need to reboot Biometrics device of Padam Tower,Laptops/Desktop
Need to upload DB data to Biometrics of Prism 7th ,Laptops/Desktop
Need to upload DB data to Biometrics of Prism 5th ,Laptops/Desktop
Need to upload DB data to Biometrics of Prism 4th ,Laptops/Desktop
Need to upload DB data to Biometrics of Padam Towe,Laptops/Desktop
Need to downlaod Biometrics data of Prism 7th floo,Laptops/Desktop
Need to downlaod Biometrics data of Prism 5th floo,Laptops/Desktop
Need to downlaod Biometrics data of Prism 4th floo,Laptops/Desktop
Need to downlaod Biometrics data of Padam Tower to,Laptops/Desktop
outlook issue,Laptops/Desktop
Outlook and teams need to configure in new mobile,Laptops/Desktop
Please amend truck number in slip serial number  6,Laptops/Desktop
need to provide internet access to guest-3,Laptops/Desktop
need to provide internet access to guest-2,Laptops/Desktop
need to provide internet access to guest-1,Laptops/Desktop
rar file issue,Laptops/Desktop
Unable to open outlook,Laptops/Desktop
outlook mail issue,Laptops/Desktop
Password issue,Laptops/Desktop
Outlook not responding,E-mail
Rajpur depot password issue,Laptops/Desktop
Password Reset for NPP14,SAP
need to enrool on biometrics,Laptops/Desktop
login issue,Laptops/Desktop
please install network printer,Printer
system transfer,Laptops/Desktop
i am looking after Mk Crusher  O&M which is situat,Network
Please include my mail id in Gray A/c Printer,Printer
Printerneed to install,Laptops/Desktop
Need to check Meeting Room-Kasturi,Laptops/Desktop
Need to check Meeting Room-Kumkum,Laptops/Desktop
Need to check Meeting Room-Gulab,Laptops/Desktop
Need to check Meeting Room-Kewda,Laptops/Desktop
"Dear Sir Kindly increase RAM Size of my Laptop ,",Laptops/Desktop
need to handover Airtel SIM,Laptops/Desktop
windows file is corrupted,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
kindly arrange to transfer my backup from my compu,Laptops/Desktop
need to configure login profile,Laptops/Desktop
outlook is not working,Laptops/Desktop
forget password,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to configure login profile,Laptops/Desktop
System speed is very slow.,Laptops/Desktop
Gandhinagar Depot login issue,Laptops/Desktop
Need to check DVR-5,Laptops/Desktop
Need to check DVR-4,Laptops/Desktop
Unable to login system,Laptops/Desktop
Need to check DVR-3,Laptops/Desktop
"HI,From last 2 days I am facing issue in my lapt",Laptops/Desktop
Need to check DVR-2,Laptops/Desktop
Need to check DVR-1,Laptops/Desktop
Unable to play the video,Laptops/Desktop
Need to check Network - Wi-Fi,Laptops/Desktop
Need to check Network - LAN,Laptops/Desktop
Share folder access required,Laptops/Desktop
need to install printer,Laptops/Desktop
Configure New IP Phone_Jharli,Other Hardware
login issue,Laptops/Desktop
VPN CONNECTION ISSUE,Network
login issue,Laptops/Desktop
As discussed please provide the internet / Wifi co,Network
Need to check Access Control,Laptops/Desktop
Print not coming as & when required. Printershowi,Printer
Need to check Server Room AC,Laptops/Desktop
I'd card Printerissue,Laptops/Desktop
Need to check Server Room,Laptops/Desktop
Need to check UPS Room AC,Laptops/Desktop
Connection of Printerrequired in PC. kept at tech,Printer
Need to check UPS,Laptops/Desktop
install printer,Printer
Need to check PRI Line,Laptops/Desktop
Need to check Bio Metric Attendance System,Laptops/Desktop
Need to check Second Floor Canon Printer,Laptops/Desktop
Need to check First Floor Canon Printer,Laptops/Desktop
Need to check Ground Floor Canon Printer,Laptops/Desktop
Need to check Basement Canon Printer,Laptops/Desktop
need to share SIM details,Laptops/Desktop
"need to send , Laptop HDD of Mr. Pankaj Taneja  to",Laptops/Desktop
need to install softwres,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
need to dispatch laptop of BHAGWAN DEO SHARMA Mob,Laptops/Desktop
need to install softwares,Laptops/Desktop
need to configure outlook profile,Laptops/Desktop
need to configure login profile,Laptops/Desktop
need to dispatch alptop to Rudra Ashish Tiwari (M,Laptops/Desktop
need to submit invoice to accounts department,Laptops/Desktop
my system mouse in not working properly kindly arr,Laptops/Desktop
Patna depot password issue,Laptops/Desktop
Saksham login issue,Laptops/Desktop
Error is coming while giving print on Printer (FS,Printer
Excel DATA issue,Laptops/Desktop
Vpn password issue,Laptops/Desktop
Printernot working,Printer
Asking for SAP password issue,Laptops/Desktop
password issue,Laptops/Desktop
Mail need to archive,Laptops/Desktop
VOIP is not working.,Inquiry / Help
Number verification Airtel 9289639955 1-3595635677,Laptops/Desktop
Number verification Airtel 9289642288 1-3595635677,Laptops/Desktop
Please amend truck number in slip serial number 63,Laptops/Desktop
Please arrange to check the monitor display,Laptops/Desktop
Cfg.DewasNaka password issue,Laptops/Desktop
Login issue,Laptops/Desktop
Need to check VC Conference Room,Laptops/Desktop
Need to check VC Board Meeting Room,Laptops/Desktop
The services of Mr. Sanyam Jain have been transfer,Network
login issue,Laptops/Desktop
login issue,Laptops/Desktop
login issue,Laptops/Desktop
mouse not working properly,Laptops/Desktop
Computer login problem (very slow login),Laptops/Desktop
Printeris not working,Laptops/Desktop
Printeris not working,Laptops/Desktop
install Primavera at puneet sir laptop,Software
need to update BIOS driver,Laptops/Desktop
excel is not working properly,Laptops/Desktop
login issue,Laptops/Desktop
Printernot connected,Printer
Sir Please add transporter name & Code In RFIDC,Application
password issue,Laptops/Desktop
password issue,Laptops/Desktop
Guide Om how to enroll user in Biometric,Laptops/Desktop
Password issue,Laptops/Desktop
RE: Wifi problem/NET Not connected,Inquiry / Help
IP EXTN NOT WORKING,Laptops/Desktop
Install iMac in Raghav sir's cabin.,Laptops/Desktop
Provide Charger dell. for temp.,Laptops/Desktop
WIFI not connecting in ipad.,Laptops/Desktop
Add Scanner.,Laptops/Desktop
"Check Network, Printers & Meeting rooms in morning",Laptops/Desktop
System not connect with tv in meeting room 7th flo,Laptops/Desktop
Connect laptop to TV In meeting room 4th floor.,Laptops/Desktop
Need hp laptop charger.,Laptops/Desktop
System working slow.,Laptops/Desktop
Wifi not working.,Laptops/Desktop
Printerinstallation.,Laptops/Desktop
wi-fi is not working,Laptops/Desktop
laptop is not working properly,Laptops/Desktop
need to update BIOS driver,Laptops/Desktop
audio is not working,Laptops/Desktop
Password issue,Laptops/Desktop
Outlook is not responding,E-mail
"Hindi Font not installed in laptop, please install",Software
"Printeris not connected with laptop, please conne",Printer
Share Zoom meeting link ,Software
Install VLC player,Software
mail configure on mobile.,E-mail
"Dear Concern, wifi device having connectivity issu",Network
Printernot installed.,Printer
"Dear sir,As informed earlier,my Airtel wi-fil don",Laptops/Desktop
Old Mail Back Up,Inquiry / Help
"Dear Team,Pleased reset my vpn id : 13000971 for",Laptops/Desktop
MY SYSTEM (LAPTOP) IS RUNNING VERY SLOW.PrinterK,Laptops/Desktop
login issue,Laptops/Desktop
please install network printer,Printer
Password issue,Laptops/Desktop
sap not working,SAP
Reset SAP password KSD6,Laptops/Desktop
13001124@jkcement.com password issue,Laptops/Desktop
Mailbox full issue.,E-mail
Password issue,Laptops/Desktop
Password issue,Laptops/Desktop
wi-fi is not working,Laptops/Desktop
FOR ITSM ID,Security
Map Shared drive.,Shared File and Folder Access
login issue,Laptops/Desktop
login issue,Laptops/Desktop
Printernot working,Printer
Printernot working ,Printer
Please amend truck number in slip serial number 63,Laptops/Desktop
oracle not working,Application
wi-fi is not working,Laptops/Desktop
install Printer,Printer
not able to login profile,Laptops/Desktop
Permission to access https://nanoprecisedataservices.com/login,Inquiry / Help
outlook is not working,Laptops/Desktop
system slow working,Laptops/Desktop
Connection to new installed Printerat Guragon Zon,Printer
scanner not working ,Other
Issue in Open Mail,E-mail
domain password not working,Laptops/Desktop
Printernot connected.,Printer
Login Issue,Laptops/Desktop
Requesting for data card. Kindly provide.,Laptops/Desktop
Kindly configure email on an outlook.,E-mail
To change Printertoner (Brother DCP-B7535DW).,Printer
Change In profile pic,Inquiry / Help
dear mam/sirkindly request pls reset my google ,Network
Internet not working. New  laptop not configured p,Laptops/Desktop
VPN is not working,Laptops/Desktop
login issue,Laptops/Desktop
Laptop down arrow key not working,Laptops/Desktop
Reset SAP Password for KFI4,Laptops/Desktop
Please configure Printerto my system. (Project Of,Printer
Amend weight in JKC slip No 40556 to Gross weight ,Laptops/Desktop
network cable required for new system,Network
"Hi,I have already submitted datacard to you as i",Network
Reset my AD password,Laptops/Desktop
Reset my password,Laptops/Desktop
Reset Password,Laptops/Desktop
Transporter Name:- FASTSPEED LOGISTICSCode:- 120,Application
Reset my system Password,Laptops/Desktop
Mailbox is full.,Inquiry / Help
Printernot connected,Printer
"In energy isolation permit, showing CCR approval i",Software
kindly provide accesses to CPCB RTDMS portal,Network
Printernot connected,Printer
"Dear Sir, Network Issue in our PC. Its IP Address ",Network
PLEASE ISSUE CARTRIDGE,Printer
Scanner is not working,Laptops/Desktop
Mouse is not working properly,Laptops/Desktop
"Dear Sir,As instructed, I have handed over my dr",Laptops/Desktop
need to scan documents of Rajesh Lal Sir,Laptops/Desktop
Win-Rar is not working of SK Rathore Sir,Laptops/Desktop
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
Need to take prints of Tickets of conclave,Laptops/Desktop
MS Teams is not working,Laptops/Desktop
"Always asking for ""need password""",E-mail
need to install printer,Laptops/Desktop
Facing issue in sending mail from mobile,Inquiry / Help
PLEASE ADD MAC ADDRESS ,Network
Reset my AD password,Laptops/Desktop
"Dear Sir,My mobile has changed. Please reset My V",Network
Need to connect TV of ajai Kumar Sir,Laptops/Desktop
System not working.,Laptops/Desktop
Need to connect TV of Rajnish Kapur Sir,Laptops/Desktop
Connect TV to Laptop in meeting room.,Laptops/Desktop
Need to install Printerof Niranjan Mishra Sir,Laptops/Desktop
Need to install digital sign.,Laptops/Desktop
5th Floor Printeris not working,Laptops/Desktop
need to connect wifi.,Laptops/Desktop
Telephone of Tejwani Sir is not working,Laptops/Desktop
Need to check UPS console connectivity,Laptops/Desktop
Mic not working.,Laptops/Desktop
Need to enrool users on Biometrics,Laptops/Desktop
please install zoom app in my system.,Laptops/Desktop
Outlook of Smriti Agarwal Ma'am is not working pro,Laptops/Desktop
Need to install teams,Laptops/Desktop
Outlook not working,Laptops/Desktop
Need to intstall barco on laptop of Nancy Ma'am,Laptops/Desktop
Need  to test barco in sharing mode with other loc,Laptops/Desktop
Need to install AV in my system,Laptops/Desktop
Need to prepare meeting room for Raghav Sir's meet,Laptops/Desktop
Please reset password.,Laptops/Desktop
Need to check meeting room 7th floor,Laptops/Desktop
Vpn not working,Laptops/Desktop
Please Join doman,Laptops/Desktop
Need to check meeting room 4.3,Laptops/Desktop
Please configure outlook,Laptops/Desktop
Need to check meeting room 4.2,Laptops/Desktop
need to install Vpn,Laptops/Desktop
Need to check meeting room 4.1,Laptops/Desktop
Need to install sap,Laptops/Desktop
Need to check VC Room,Laptops/Desktop
Need to check cabin's Devices of Raghav Sir,Laptops/Desktop
Need to check cabin's Devices of Madhav Sir,Laptops/Desktop
Need to check devices of 7th floor,Laptops/Desktop
Need to check devices of 5th floor,Laptops/Desktop
Need to check devices of 4th floor,Laptops/Desktop
Need to Install Printerof Andleeb Jain Sir,Laptops/Desktop
Need to connect TV with MacBook of Andleeb Jain Si,Laptops/Desktop
login issue,Laptops/Desktop
Need to share TV detais with Nitin Sir of Raghav S,Laptops/Desktop
Need to share TV detais with Nitin Sir of Sumnesh ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Sanjeev ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Adleeb J,Laptops/Desktop
Not able to install my internet device,Inquiry / Help
Need to share TV detais with Nitin Sir of Niranjan,Laptops/Desktop
Need to share TV detais with Nitin Sir of Rajnish ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Meeting ,Laptops/Desktop
Need to share TV detais with Nitin Sir of IT Seat ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Monitior,Laptops/Desktop
Need to share TV detais with Nitin Sir of Monitior,Laptops/Desktop
Need to share TV detais with Nitin Sir of Pushpraj,Laptops/Desktop
Need to share TV detais with Nitin Sir of Yagyesh ,Laptops/Desktop
REQUIRED NEW LAPTOP,Inquiry / Help
Need to share TV detais with Nitin Sir of Jitendra,Laptops/Desktop
Need to share TV detais with Nitin Sir of Puneet A,Laptops/Desktop
Need to share TV detais with Nitin Sir of Ajai Kum,Laptops/Desktop
Need to share TV detais with Nitin Sir of Meeting ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Madhav S,Laptops/Desktop
Need to share TV detais with Nitin Sir of Receptio,Laptops/Desktop
Need to share TV detais with Nitin Sir of Server R,Laptops/Desktop
Need to share TV detais with Nitin Sir of Surender,Laptops/Desktop
out look mail are not found for two days,Laptops/Desktop
Need to share TV detais with Nitin Sir of Nitish C,Laptops/Desktop
Need to share TV detais with Nitin Sir of Neeraj S,Laptops/Desktop
I am facing issues with some keyboard buttons. So ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Hardeep ,Laptops/Desktop
Need to share TV detais with Nitin Sir of S K Tejw,Laptops/Desktop
Need to share TV detais with Nitin Sir of S.K. Rat,Laptops/Desktop
Need to share TV detais with Nitin Sir of Meeting ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Meeting ,Laptops/Desktop
Need to share TV detais with Nitin Sir of Meeting ,Laptops/Desktop
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
Unable to connect VPNVPN id is (cfg.agra).,Network
VPN ID REQUIREMENT,Network
mail id not working,Network
adobe reader not working,Laptops/Desktop
need to enrool on 4th floor biometrics,Laptops/Desktop
login issue,Laptops/Desktop
login issue,Laptops/Desktop
Reset Sap Password,Laptops/Desktop
login issue,Laptops/Desktop
TEAM VIWER INSTALLATION REQUIRED,Laptops/Desktop
need to install printer,Laptops/Desktop
mail issue,Laptops/Desktop
1. Increase of memory in OUTLOOK 2. Recovery of o,Laptops/Desktop
vpn is not working,Laptops/Desktop
  Please create VPN account for below mention user,Other
vpn is not working,Laptops/Desktop
Connect TV to Laptop.,Laptops/Desktop
Printernot working 7th floor,Laptops/Desktop
install printer,Laptops/Desktop
"My current laptop is not working properly, while i",Laptops/Desktop
INIM-GINS-DD005 PC is not starting please resolve ,Laptops/Desktop
Kindly Reset Password for Cfg.belgaum2,E-mail
Kindly Reset Password for belgaum vpn ,Network
"Abhishek kumar is working as DMO, PCMC PUNE. I am not able to open my outlook account.",Other
kindly reset the password ,E-mail
System Name:  IGTN-WINS-DD007Display is not show ,Laptops/Desktop
"Request for Authenticator Installation at Gulbarga Depot, cfg.Gulbarga ",Network
Regarding VPN Log in issue,Inquiry / Help
Install pdf application and images are unable to o,Software
Unable to connect VPN. (ID 6100162),Network
Please configure the printer,Laptops/Desktop
internet issue & system slowness,Laptops/Desktop
one drive not working,E-mail
"unable to login VPN and couldn't access SAP, kindl",Network
Please install Think Cell & Effective Elements.,Laptops/Desktop
Kindly make a sap connection.,SAP
please reset my vpn,Laptops/Desktop
Laptop is not getting charge. Power is in adopter ,Laptops/Desktop
"Printerdid not  work properly, kindly check the p",Printer
"Dear sir, my email is not  opening, i need to work",Datacenter
my pulse secure is not connecting,Laptops/Desktop
In my laptop outlook is not connecting Emp.- Raj,Network
"Hello Shubham, Please unlock VPN cfg.jalore as e",Network
"REQUEST TO ACTIVATE VPN IN MY SYSTEM, THANKS",Network
"After changing the password, outlook not connectin",Network
Need to uninstall WPS Office,Laptops/Desktop
Kindly change the name on Ip Phone ,Other Hardware
"SAP password reset , SAP ID : DGOWDA",SAP
SAP issue,SAP
tonner replace,Printer
Mobile mail configuration,E-mail
Password Reset,E-mail
Mail id required,E-mail
cfg.kopaal VPN password reset,Network
Koppal Depot VPN issue,Network
Cfg.shimoga VPN Password Reset,Network
Shimoga VPN not working,Network
vpn is not working,Laptops/Desktop
login issue,Laptops/Desktop
need to extend same password,Laptops/Desktop
not able to login,Laptops/Desktop
Kindly configure sap.,SAP
"VPN is not working and massage reflect that ""Accou",Network
System pass ward is logout after some time and sho,Network
VPN connection issue at Haldwani Depot. Kindly Res,Network
Kindly configure outlook.,E-mail
New Printerinstallation,Printer
NEW PrinterINSTALLATION,Printer
NEW PrinterINSTALLATION,Network
New Printernot installed. Please do the needful.,Printer
password reset ,Laptops/Desktop
FW: Incident INC0016619 has been opened on your behalf,Inquiry / Help
Problem in network connectivity of KIOSK machine a,Network
connectivity problem at ccr in whr.,Network
Reset my AD password,Laptops/Desktop
"Dear Sir,I am unable to connect VPN due to Accoun",Network
Change OU,E-mail
new laptop setup for Abhishek Ameta,Laptops/Desktop
need to remove bitlocker of Yagesh Sir's personal ,Laptops/Desktop
need to taken data backup of Yagesh Sir personal l,Laptops/Desktop
need to configure sap,Laptops/Desktop
need to install sap,Laptops/Desktop
laptop mic not working,Other Hardware
need to configure vpn,Laptops/Desktop
adobe reader issue,Laptops/Desktop
need to install vpn,Laptops/Desktop
need to configure vpn,Laptops/Desktop
need to install vpn,Laptops/Desktop
need to install sap,Laptops/Desktop
need to configure SAP,Laptops/Desktop
outlook not working,E-mail
"Printernot connected with my Laptop, Please conne",Printer
VPN NOT CONNECTING BHANKROTA DEPOT-1123,Laptops/Desktop
Mail issue,Laptops/Desktop
Stand by laptop return,Laptops/Desktop
Make a list for Telephone user,Laptops/Desktop
Mouse Provided,Laptops/Desktop
Guide Mohan Sharma sir how to set wallpaper in Zoo,Laptops/Desktop
iPad handover with all required software,Laptops/Desktop
Laptop dispatch Padam tower to prism tower,Laptops/Desktop
Follow up with  users for laptop receiving,Laptops/Desktop
Guide Om how to use DSC dongle,Laptops/Desktop
Please install Scanner in system.(7910362),Network
login issue,Laptops/Desktop
SAP NOT working please check.,SAP
Configure laptop for Sales Officer Tanzania,Laptops/Desktop
"HI Team,CFA had changed his system and now VPN &",Network
some massage is displayed in monitor in unknown la,Laptops/Desktop
kindly reset the password ,E-mail
cfg.huble  vpn password reset ,Network
Please resent vpn password of  Kurnool depot.    VPN ID : cfw.kurnool,Network
network issue at plant dispansary,Network
vpn not working error showing kindly change the password vpn id :  Cfw.Kanakapura,Network
Microsoft Teams not working kindly check.,Software
Reset vpn password id mention cfw.salem ,Network
Please provide VPn access to Cfw.Deoria,Laptops/Desktop
vpn login issue ,Network
vpn password reset vpn id  cfg.mani  ,Network
Password reset Cfg.Bellary depot,Network
need to provide extension to Mr. Ravindra Garg,Laptops/Desktop
laptop running slow and e mail not working,Laptops/Desktop
"Dear Team,Please arrange to install intercom at ",Laptops/Desktop
myjkc login issue,Application
Please issue one tonner for X-ray QC lab,Printer
Outlook showing error,Laptops/Desktop
outlook not working,E-mail
"Dear Sir, Error: 1329: You are not allowed to si",Network
Printernot working,Printer
kindly replace the brother Printercartridge.,Printer
My mouse is not working,Laptops/Desktop
kindly reset the password ,E-mail
Mr.prasad.vaidya desktop date and time change ,Laptops/Desktop
To access SAP from home. Kindly create a VPN id,Network
system not working,Laptops/Desktop
Outlook issue,Laptops/Desktop
need to check devices of 4.3 meeting room,Laptops/Desktop
USB 1TB HDD Missing,Laptops/Desktop
need to check devices of 4.2 meeting room,Laptops/Desktop
System Login issue,Laptops/Desktop
need to check devices of 4.1 meeting room,Laptops/Desktop
Mouse provided,Laptops/Desktop
outlook's email is not opening properly,Laptops/Desktop
Laptop login issue,Laptops/Desktop
7th floor Canon Printeris not working,Laptops/Desktop
need to provide laptop to guest of MD Sir's on tem,Laptops/Desktop
Password issue,Laptops/Desktop
need to connect barco to guest of MD Sir's,Laptops/Desktop
need to provide Mouse to guest of MD Sir's on temp,Laptops/Desktop
need to enrool users on biometrics,Laptops/Desktop
Kindly connect my laptop to Kolkata office printer,Printer
need to check devices of Madav Sir's cabin,Laptops/Desktop
need to check devices of Raghav Sir's cabin,Laptops/Desktop
need to check devices of 7th floor,Laptops/Desktop
need to check devices of 5th floor,Laptops/Desktop
need to check devices of 4th floor,Laptops/Desktop
need to setup meeting room for Raghav Sir,Laptops/Desktop
Reset password,Laptops/Desktop
Dear SirKindly install the setup of pen drive fo,Network
"Please map shared drive, SAP login and add printer",Laptops/Desktop
Password change,E-mail
Password not working,E-mail
login issue,Laptops/Desktop
VPN is not working,Laptops/Desktop
"dear sir,please issue cartadge hp laser jet 1020 ",Printer
"Hi Nitin,Could you pls align someone to work on ",Laptops/Desktop
Required VPN,Network
